央视,#genre#
历史频道一,p3p://173.208.176.178:19806/6233e1a30007e08d7da4ab21717b3e79
历史频道二,p3p://173.208.176.178:19806/6233e2240002d3af7da6a1bf693a1ed5
Trace-体育,p3p://173.208.176.178:19806/644faccf000c7b6368730354764b17ed
韩国娱乐台,p3p://173.208.176.178:19806/621e16b0000ec4772884cc295a1614a8
Catch-电影,p3p://173.208.176.178:19806/6258e5c9000dd0d00e3b184c1b9c4f4c
Cinem电影,p3p://173.208.176.178:19806/6233e8f1000112b17dc1320c7d1c4049
MyCin电影,p3p://173.208.176.178:19806/6233fc79000a0ea07e0d7fa1125015d0
LifeTime台,p3p://173.208.176.178:19806/623a91f0000d3ab297c4e6e2101d46b4
Boomerang,p3p://173.208.176.178:19806/621e313f0005594c28ec88582a49029c
原住民电视,p3p://173.208.176.178:19806/64450b180002b23d3eeb784a0aa62e20
公视戏剧台,p3p://173.208.176.178:19806/64450cdd000b67ea3ef2640f773a7ec7
EVE -HD台,p3p://173.208.176.178:19806/6445172e000920783f1aafee754f43e4
HGTV频道,p3p://173.208.176.178:19806/644518fd0002d5953f21bedc56b6465f
Cl古典音乐,p3p://173.208.176.178:19806/6452b4f1000c38e8744ac80744c33d67
Mezzolive,p3p://173.208.176.178:19806/6452bcb000039d52746907f4476f5e7b
猪哥亮歌厅,p3p://173.208.176.178:19806/6452bbf2000d02457466242b0e5c5ea2
Universetv,p3p://173.208.176.178:19806/644fbb7c0004a5e968ac550c11f72df5
GlobalTrek,p3p://173.208.176.178:19806/644fb34f000f396e688c67ff6b147338
霹雳闽南台,p3p://173.208.176.178:19806/644507280004aa433edc17562e211a38
Baby TV台,p3p://173.208.176.178:19806/64bea3f00002bdf919e6522520650b26
国会频道一,p3p://173.208.176.178:19806/64ce0646000722d755fe479603e64ba8
国会频道 二,p3p://173.208.176.178:19806/64ce06980008b4f755ff884d646a56da
SMART频道,p3p://173.208.176.178:19806/64e367a800053465a982145d191f168f
CMUSIC-台,p3p://173.208.176.178:19806/64e368dc000e5b23a986c9d62f9604df
寰宇财经台,p3p://173.208.176.178:19806/64e36edf00052681a99e432a601547f5
RockA电影,p3p://173.208.176.178:19806/65ad274400000b46bd92da681fce74f2
RockE电影,p3p://173.208.176.178:19806/65ad27c7000dfceebd94ddb20bec19f4
视华仁纪实,p3p://173.208.176.178:19806/62c9a3be00088219c69bba2111fd091e
大立电视台,p3p://173.208.176.178:19806/64c4d2ba00051d1d320d17d218503f93
番薯频道台,p3p://173.208.176.178:19806/64c27b030001a1b728e6741548c32c95
港澳,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1668336354&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰香港,http://r.jdshipin.com/NfC0f
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,https://qist.cc/live/sc.php?id=fhws
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,https://qist.cc/live/sc.php?id=fhzx
翡翠台,http://r.jdshipin.com/GeWKr?id=fct720
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
华丽翡翠台,http://tvpo1.rbq.plus/jade/jade.stream/chunklist.m3u8
华丽翡翠台,http://v2h.jdshipin.com/jade/jade.stream/chunklist.m3u8
华丽翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
TVB星河,http://r.jdshipin.com/sXuuD

TVB星河,http://tvpo1.rbq.plus/xinghe/xinghe.stream/chunklist.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8

明珠台,http://r.jdshipin.com/GeWKr?id=mzt720

TVB亚洲武侠,http://tvpo1.rbq.plus/asia_action/asia_action.stream/chunklist.m3u8
